"Mean","Max","Min","Std","Index","Dataset","GroupLabel","Envelope_Min","Envelope_Max"
-0.161040493872468,-0.160411618782625,-0.161537647872607,0.000254316660485843,145,"Dataset 1","Little noise",-0.17375632689676,-0.148324660848176
-0.160624860215133,-0.160073883035133,-0.1611566403271,0.000234618628799251,146,"Dataset 1","Little noise",-0.172355791655096,-0.14889392877517
-0.159930987796946,-0.159430351565811,-0.160882889853884,0.000256868134098782,147,"Dataset 1","Little noise",-0.172774394501885,-0.147087581092007
-0.159013734482872,-0.158527054975001,-0.159615976404224,0.000222183241070333,148,"Dataset 1","Little noise",-0.170122896536389,-0.147904572429355
-0.158152481133561,-0.157416074095209,-0.158793265890793,0.000295068794663522,149,"Dataset 1","Little noise",-0.172905920866737,-0.143399041400385
-0.157453905733654,-0.15661388050901,-0.157890230683477,0.000274283510469753,150,"Dataset 1","Little noise",-0.171168081257142,-0.143739730210166
-0.156838426602122,-0.156257743947754,-0.157359797314725,0.000233585843754242,151,"Dataset 1","Little noise",-0.168517718789834,-0.14515913441441
-0.156561677377283,-0.15612865151609,-0.157138073707018,0.000210260261273511,152,"Dataset 1","Little noise",-0.167074690440959,-0.146048664313607
-0.156131652791191,-0.155592951938374,-0.156646378206393,0.000246871776894161,153,"Dataset 1","Little noise",-0.168475241635899,-0.143788063946483
-0.155378544233858,-0.154880528474871,-0.156140282533589,0.000236868563057796,154,"Dataset 1","Little noise",-0.167221972386748,-0.143535116080968
-0.155128153094508,-0.154400134383331,-0.15581133852889,0.000255475760705961,155,"Dataset 1","Little noise",-0.167901941129806,-0.14235436505921
-0.154447939509238,-0.153718136960053,-0.154921067961165,0.000232724071486706,156,"Dataset 1","Little noise",-0.166084143083573,-0.142811735934903
-0.154090592390491,-0.153534252145216,-0.154730769659538,0.000246406112397116,157,"Dataset 1","Little noise",-0.166410898010347,-0.141770286770635
-0.153748235323578,-0.153111853609471,-0.154346571237228,0.000245091006971482,158,"Dataset 1","Little noise",-0.166002785672152,-0.141493684975004
-0.153211286420797,-0.152655369590835,-0.15384039309659,0.000277706801941115,159,"Dataset 1","Little noise",-0.167096626517853,-0.139325946323741
-0.152516256063629,-0.151566661837971,-0.153061521872915,0.000225646116743107,160,"Dataset 1","Little noise",-0.163798561900784,-0.141233950226474
-0.15188584932412,-0.151335519901934,-0.152346355246892,0.000277392973445814,161,"Dataset 1","Little noise",-0.165755497996411,-0.138016200651829
-0.151428845879788,-0.150892587012681,-0.151877581002977,0.000242498466995227,162,"Dataset 1","Little noise",-0.163553769229549,-0.139303922530027
-0.150772565675325,-0.150115658703412,-0.151293375994873,0.000214833321752662,163,"Dataset 1","Little noise",-0.161514231762958,-0.140030899587692
-0.150236539805034,-0.149798173255781,-0.150771693112664,0.000198402231258965,164,"Dataset 1","Little noise",-0.160156651367982,-0.140316428242086
-0.149767801079581,-0.149308669990631,-0.150394724266576,0.000245352042612839,165,"Dataset 1","Little noise",-0.162035403210223,-0.137500198948939
-0.149228112698241,-0.148553917310457,-0.149796704749659,0.000265253882016224,166,"Dataset 1","Little noise",-0.162490806799052,-0.13596541859743
-0.148832542600664,-0.148262302699152,-0.149538931063848,0.000303240932789879,167,"Dataset 1","Little noise",-0.163994589240158,-0.13367049596117
-0.148234536999033,-0.147783306084034,-0.148837817094596,0.000216432815191937,168,"Dataset 1","Little noise",-0.15905617775863,-0.137412896239436
-0.147814678934619,-0.14713471558109,-0.148297293361519,0.000248063436611212,169,"Dataset 1","Little noise",-0.16021785076518,-0.135411507104058
-0.147237025643967,-0.146768734311061,-0.147833997517057,0.000229655936245706,170,"Dataset 1","Little noise",-0.158719822456252,-0.135754228831682
-0.146653451403913,-0.146089147373477,-0.147199656797234,0.000220508683335375,171,"Dataset 1","Little noise",-0.157678885570682,-0.135628017237144
-0.146160621094635,-0.145582859431391,-0.146629542286028,0.000259943168562123,172,"Dataset 1","Little noise",-0.159157779522741,-0.133163462666529
-0.146012070953608,-0.14548537352419,-0.146544526755202,0.000252265905899857,173,"Dataset 1","Little noise",-0.158625366248601,-0.133398775658615
-0.145607843417742,-0.144776777958426,-0.146065079833616,0.000248547651611544,174,"Dataset 1","Little noise",-0.158035225998319,-0.133180460837165
-0.14521452450666,-0.144619505192384,-0.145844697138155,0.000247596028627934,175,"Dataset 1","Little noise",-0.157594325938057,-0.132834723075263
-0.144710197986658,-0.144148504936439,-0.145459215231313,0.000273216115022017,176,"Dataset 1","Little noise",-0.158371003737759,-0.131049392235557
-0.144690426658359,-0.143928042048679,-0.145468317866713,0.000300932271237864,177,"Dataset 1","Little noise",-0.159737040220252,-0.129643813096466
-0.144343750075078,-0.143914289272638,-0.144977355694667,0.00022304886623842,178,"Dataset 1","Little noise",-0.155496193386999,-0.133191306763157
-0.144422344998765,-0.144016417604688,-0.145144721732019,0.000230285452253347,179,"Dataset 1","Little noise",-0.155936617611432,-0.132908072386098
-0.144065982181137,-0.143507069777191,-0.144699993162555,0.000294840824543715,180,"Dataset 1","Little noise",-0.158808023408323,-0.129323940953951
-0.143684391410079,-0.143143168416733,-0.144282178678946,0.000228239361489806,181,"Dataset 1","Little noise",-0.155096359484569,-0.132272423335589
-0.142991514672983,-0.142400660817875,-0.143442597531552,0.000217401302955734,182,"Dataset 1","Little noise",-0.15386157982077,-0.132121449525196
-0.142920824123611,-0.142364529832088,-0.143309253465919,0.000204537894688721,183,"Dataset 1","Little noise",-0.153147718858047,-0.132693929389175
